Codepoint,Form,Name
"8F6","◌ࣶ","ARABIC KASRA WITH DOT BELOW"
"8F7","◌ࣷ","ARABIC LEFT ARROWHEAD ABOVE"
"8F8","◌ࣸ","ARABIC RIGHT ARROWHEAD ABOVE"
"8F9","◌ࣹ","ARABIC LEFT ARROWHEAD BELOW"
"8FA","◌ࣺ","ARABIC RIGHT ARROWHEAD BELOW"
"8FB","◌ࣻ","ARABIC DOUBLE RIGHT ARROWHEAD ABOVE"
"8FC","◌ࣼ","ARABIC DOUBLE RIGHT ARROWHEAD ABOVE WITH DOT"
"8FD","◌ࣽ","ARABIC RIGHT ARROWHEAD ABOVE WITH DOT"
"8FE","◌ࣾ","ARABIC DAMMA WITH DOT"
"8FF","◌ࣿ","ARABIC MARK SIDEWAYS NOON GHUNNA"
"93C","◌़","DEVANAGARI SIGN NUKTA"
"94D","◌्","DEVANAGARI SIGN VIRAMA"
"9BC","◌়","BENGALI SIGN NUKTA"
"9BE","◌া","BENGALI VOWEL SIGN AA"
"9CD","◌্","BENGALI SIGN VIRAMA"
"9D7","◌ৗ","BENGALI AU LENGTH MARK"
"9FE","◌৾","BENGALI SANDHI MARK"
"A3C","◌਼","GURMUKHI SIGN NUKTA"
"A4D","◌੍","GURMUKHI SIGN VIRAMA"
"ABC","◌઼","GUJARATI SIGN NUKTA"
"ACD","◌્","GUJARATI SIGN VIRAMA"
"B3C","◌଼","ORIYA SIGN NUKTA"
"B3E","◌ା","ORIYA VOWEL SIGN AA"
"B4D","◌୍","ORIYA SIGN VIRAMA"
"B56","◌ୖ","ORIYA AI LENGTH MARK"
"B57","◌ୗ","ORIYA AU LENGTH MARK"
"BBE","◌ா","TAMIL VOWEL SIGN AA"
"BCD","◌்","TAMIL SIGN VIRAMA"
"BD7","◌ௗ","TAMIL AU LENGTH MARK"
"C3C","◌఼","TELUGU SIGN NUKTA"
"C4D","◌్","TELUGU SIGN VIRAMA"
"C55","◌ౕ","TELUGU LENGTH MARK"
"C56","◌ౖ","TELUGU AI LENGTH MARK"
"CBC","◌಼","KANNADA SIGN NUKTA"
"CC2","◌ೂ","KANNADA VOWEL SIGN UU"
"CCD","◌್","KANNADA SIGN VIRAMA"
"CD5","◌ೕ","KANNADA LENGTH MARK"
"CD6","◌ೖ","KANNADA AI LENGTH MARK"
"D3E","◌ാ","MALAYALAM VOWEL SIGN AA"
"D4D","◌്","MALAYALAM SIGN VIRAMA"
"D57","◌ൗ","MALAYALAM AU LENGTH MARK"
"DCA","◌්","SINHALA SIGN AL-LAKUNA"
"DCF","◌ා","SINHALA VOWEL SIGN AELA-PILLA"
"DDF","◌ෟ","SINHALA VOWEL SIGN GAYANUKITTA"
"E38","◌ุ","THAI CHARACTER SARA U"
"E39","◌ู","THAI CHARACTER SARA UU"
"E3A","◌ฺ","THAI CHARACTER PHINTHU"
"E48","◌่","THAI CHARACTER MAI EK"
"E49","◌้","THAI CHARACTER MAI THO"
"E4A","◌๊","THAI CHARACTER MAI TRI"
"E4B","◌๋","THAI CHARACTER MAI CHATTAWA"
"EB8","◌ຸ","LAO VOWEL SIGN U"
"EB9","◌ູ","LAO VOWEL SIGN UU"
"EBA","◌຺","LAO SIGN PALI VIRAMA"
"EC8","◌່","LAO TONE MAI EK"
"EC9","◌້","LAO TONE MAI THO"
"ECA","◌໊","LAO TONE MAI TI"
"ECB","◌໋","LAO TONE MAI CATAWA"
"F18","◌༘","TIBETAN ASTROLOGICAL SIGN -KHYUD PA"
"F19","◌༙","TIBETAN ASTROLOGICAL SIGN SDONG TSHUGS"
"F35","◌༵","TIBETAN MARK NGAS BZUNG NYI ZLA"
"F37","◌༷","TIBETAN MARK NGAS BZUNG SGOR RTAGS"
"F39","◌༹","TIBETAN MARK TSA -PHRU"
"F71","◌ཱ","TIBETAN VOWEL SIGN AA"
"F72","◌ི","TIBETAN VOWEL SIGN I"
"F74","◌ུ","TIBETAN VOWEL SIGN U"
"F7A","◌ེ","TIBETAN VOWEL SIGN E"
"F7B","◌ཻ","TIBETAN VOWEL SIGN EE"
"F7C","◌ོ","TIBETAN VOWEL SIGN O"
"F7D","◌ཽ","TIBETAN VOWEL SIGN OO"
"F80","◌ྀ","TIBETAN VOWEL SIGN REVERSED I"
"F82","◌ྂ","TIBETAN SIGN NYI ZLA NAA DA"
"F83","◌ྃ","TIBETAN SIGN SNA LDAN"
"F84","◌྄","TIBETAN MARK HALANTA"
"F86","◌྆","TIBETAN SIGN LCI RTAGS"
"F87","◌྇","TIBETAN SIGN YANG RTAGS"
"FC6","◌࿆","TIBETAN SYMBOL PADMA GDAN"
"102E","◌ီ","MYANMAR VOWEL SIGN II"
"1037","◌့","MYANMAR SIGN DOT BELOW"
"1039","◌္","MYANMAR SIGN VIRAMA"
"103A","◌်","MYANMAR SIGN ASAT"
"108D","◌ႍ","MYANMAR SIGN SHAN COUNCIL EMPHATIC TONE"
"1161","ᅡ","HANGUL JUNGSEONG A"
"1162","ᅢ","HANGUL JUNGSEONG AE"
"1163","ᅣ","HANGUL JUNGSEONG YA"
"1164","ᅤ","HANGUL JUNGSEONG YAE"
"1165","ᅥ","HANGUL JUNGSEONG EO"
"1166","ᅦ","HANGUL JUNGSEONG E"
"1167","ᅧ","HANGUL JUNGSEONG YEO"
"1168","ᅨ","HANGUL JUNGSEONG YE"
"1169","ᅩ","HANGUL JUNGSEONG O"
"116A","ᅪ","HANGUL JUNGSEONG WA"
"116B","ᅫ","HANGUL JUNGSEONG WAE"
"116C","ᅬ","HANGUL JUNGSEONG OE"
"116D","ᅭ","HANGUL JUNGSEONG YO"
"116E","ᅮ","HANGUL JUNGSEONG U"
"116F","ᅯ","HANGUL JUNGSEONG WEO"
"1170","ᅰ","HANGUL JUNGSEONG WE"
"1171","ᅱ","HANGUL JUNGSEONG WI"
"1172","ᅲ","HANGUL JUNGSEONG YU"
"1173","ᅳ","HANGUL JUNGSEONG EU"
"1174","ᅴ","HANGUL JUNGSEONG YI"
"1175","ᅵ","HANGUL JUNGSEONG I"
"11A8","ᆨ","HANGUL JONGSEONG KIYEOK"
"11A9","ᆩ","HANGUL JONGSEONG SSANGKIYEOK"
"11AA","ᆪ","HANGUL JONGSEONG KIYEOK-SIOS"
"11AB","ᆫ","HANGUL JONGSEONG NIEUN"
"11AC","ᆬ","HANGUL JONGSEONG NIEUN-CIEUC"
"11AD","ᆭ","HANGUL JONGSEONG NIEUN-HIEUH"
"11AE","ᆮ","HANGUL JONGSEONG TIKEUT"
"11AF","ᆯ","HANGUL JONGSEONG RIEUL"
"11B0","ᆰ","HANGUL JONGSEONG RIEUL-KIYEOK"
"11B1","ᆱ","HANGUL JONGSEONG RIEUL-MIEUM"
"11B2","ᆲ","HANGUL JONGSEONG RIEUL-PIEUP"
"11B3","ᆳ","HANGUL JONGSEONG RIEUL-SIOS"
"11B4","ᆴ","HANGUL JONGSEONG RIEUL-THIEUTH"
"11B5","ᆵ","HANGUL JONGSEONG RIEUL-PHIEUPH"
"11B6","ᆶ","HANGUL JONGSEONG RIEUL-HIEUH"
"11B7","ᆷ","HANGUL JONGSEONG MIEUM"
"11B8","ᆸ","HANGUL JONGSEONG PIEUP"
"11B9","ᆹ","HANGUL JONGSEONG PIEUP-SIOS"
"11BA","ᆺ","HANGUL JONGSEONG SIOS"
"11BB","ᆻ","HANGUL JONGSEONG SSANGSIOS"
"11BC","ᆼ","HANGUL JONGSEONG IEUNG"
"11BD","ᆽ","HANGUL JONGSEONG CIEUC"
"11BE","ᆾ","HANGUL JONGSEONG CHIEUCH"
"11BF","ᆿ","HANGUL JONGSEONG KHIEUKH"
"11C0","ᇀ","HANGUL JONGSEONG THIEUTH"
"11C1","ᇁ","HANGUL JONGSEONG PHIEUPH"
"11C2","ᇂ","HANGUL JONGSEONG HIEUH"
"135D","◌፝","ETHIOPIC COMBINING GEMINATION AND VOWEL LENGTH MARK"
"135E","◌፞","ETHIOPIC COMBINING VOWEL LENGTH MARK"
"135F","◌፟","ETHIOPIC COMBINING GEMINATION MARK"
"1714","◌᜔","TAGALOG SIGN VIRAMA"
"1715","◌᜕","TAGALOG SIGN PAMUDPOD"
"1734","◌᜴","HANUNOO SIGN PAMUDPOD"
"17D2","◌្","KHMER SIGN COENG"
"18A9","◌ᢩ","MONGOLIAN LETTER ALI GALI DAGALGA"
"1939","◌᤹","LIMBU SIGN MUKPHRENG"
"193A","◌᤺","LIMBU SIGN KEMPHRENG"
"193B","◌᤻","LIMBU SIGN SA-I"
"1A17","◌ᨗ","BUGINESE VOWEL SIGN I"
"1A18","◌ᨘ","BUGINESE VOWEL SIGN U"
"1A60","◌᩠","TAI THAM SIGN SAKOT"
"1A75","◌᩵","TAI THAM SIGN TONE-1"
"1A76","◌᩶","TAI THAM SIGN TONE-2"
"1A77","◌᩷","TAI THAM SIGN KHUEN TONE-3"
"1A78","◌᩸","TAI THAM SIGN KHUEN TONE-4"
"1A79","◌᩹","TAI THAM SIGN KHUEN TONE-5"
"1A7A","◌᩺","TAI THAM SIGN RA HAAM"
"1A7B","◌᩻","TAI THAM SIGN MAI SAM"
"1A7C","◌᩼","TAI THAM SIGN KHUEN-LUE KARAN"
"1A7F","◌᩿","TAI THAM COMBINING CRYPTOGRAMMIC DOT"
"1B34","◌᬴","BALINESE SIGN REREKAN"
"1B35","◌ᬵ","BALINESE VOWEL SIGN TEDUNG"
"1B44","◌᭄","BALINESE ADEG ADEG"
"1BAA","◌᮪","SUNDANESE SIGN PAMAAEH"
"1BAB","◌᮫","SUNDANESE SIGN VIRAMA"
"1BE6","◌᯦","BATAK SIGN TOMPI"
"1BF2","◌᯲","BATAK PANGOLAT"
"1BF3","◌᯳","BATAK PANONGONAN"
"1C37","◌᰷","LEPCHA SIGN NUKTA"
"2CEF","◌⳯","COPTIC COMBINING NI ABOVE"
"2CF0","◌⳰","COPTIC COMBINING SPIRITUS ASPER"
